NAME,PHONE,WEBSITE,ADDRESS,EMAIL
 McDonalds, +33 1 40 26 87 41 ,http://www.restaurants.mcdonalds.fr/mcdonalds-paris-berger," 12 Rue Berger, 75001 Paris, Frankreich ",
 McDonald's, +33 1 40 39 97 05 ,http://www.restaurants.mcdonalds.fr/mcdonalds-paris-rivoli," 116 Rue de Rivoli, 75001 Paris, Frankreich ",
 McDonald's, +33 1 45 22 56 73 ,http://www.restaurants.mcdonalds.fr/mcdonalds-paris-rue-saint-lazare," 119 Rue Saint-Lazare, 75008 Paris, Frankreich ",
 McDonald's, +33 1 42 96 38 14 ,https://www.mcdonalds.fr/restaurants/mcdonalds-paris-louvre-rivoli/549," 184 Rue de Rivoli, 75001 Paris, Frankreich ",
 McDonald's, +33 1 40 23 91 32 ,http://www.restaurants.mcdonalds.fr/mcdonalds-paris-gare-du-nord," 25 Rue de Dunkerque, 75010 Paris, Frankreich ",
 McDonald's, +33 1 42 81 28 19 ,http://www.restaurants.mcdonalds.fr/mcdonalds-paris-provence," 96 Rue de Provence, 75009 Paris, Frankreich ",
 McDonald's, +33 1 53 91 20 91 ,http://www.restaurants.mcdonalds.fr/mcdonalds-paris-alesia," Alésia, 71 Av. du Général Leclerc, 75014 Paris, Frankreich ",
 McDonald's, +33 1 49 29 70 32 ,http://www.restaurants.mcdonalds.fr/mcdonalds-paris-bastille," 4, Boulevard Richard Lenoir, Pl. de la Bastille, 75011 Paris, Frankreich ",
 McDonald's République, +33 1 42 72 97 87 ,http://www.restaurants.mcdonalds.fr/mcdonalds-paris-republique," 19 Pl. de la République, 75003 Paris, Frankreich ",
 McDonald's, +33 1 45 85 98 18 ,http://www.restaurants.mcdonalds.fr/mcdonalds-paris-place-d%27italie," Bd Vincent Auriol 211-213, 75013 Paris, Frankreich ",
 McDonald's Faubourg du Temple, +33 1 44 52 71 73 ,http://www.restaurants.mcdonalds.fr/mcdonalds-paris-faubourg-du-temple," 29 Rue du Faubourg du Temple, 75010 Paris, Frankreich ",
 McDonald's, +33 1 45 26 67 78 ,http://www.restaurants.mcdonalds.fr/mcdonalds-paris-cadet," 65 Rue La Fayette, 75009 Paris, Frankreich ",
 McDonald's, +33 1 42 36 15 80 ,http://www.restaurants.mcdonalds.fr/mcdonalds-paris-forum," 17 Rue De L'arc En Ciel, 75001 Paris, Frankreich ",
 McDonald's, +33 1 42 23 27 27 ,http://www.restaurants.mcdonalds.fr/mcdonalds-paris-place-pigalle," 20 Bd de Clichy, 75018 Paris, Frankreich ",
 McDonald's Crimée, +33 1 40 36 28 04 ,http://www.restaurants.mcdonalds.fr/mcdonalds-paris-crimee," 87 Av. de Flandre, 75019 Paris, Frankreich ",
 McDonald's, +33 1 44 74 72 24 ,http://www.restaurants.mcdonalds.fr/mcdonalds-paris-gare-de-lyon-originals-areas," Pl. Louis-Armand 1, 75012 Paris, Frankreich ",
 McDonald's, +33 1 40 27 04 21 ,http://www.restaurants.mcdonalds.fr/mcdonalds-paris-hotel-de-ville," 5 Rue du Renard, 75004 Paris, Frankreich ",
 McDonald's Jaurès Stalingrad, +33 1 42 06 15 50 ,http://www.restaurants.mcdonalds.fr/mcdonalds-paris-stalingrad," 2 Av. Secrétan, 75019 Paris, Frankreich ",
 McDonald's, +33 1 81 69 54 70 ,http://www.restaurants.mcdonalds.fr/mcdonalds-paris-rue-de-rennes," 167 Rue de Rennes, 75006 Paris, Frankreich ",
 McDonald's Paris-Place de Clichy, +33 1 48 74 17 00 ,http://www.restaurants.mcdonalds.fr/mcdonalds-paris-place-de-clichy," 10 Pl. de Clichy, 75009 Paris, Frankreich ",
 McDonald’s, +33 1 53 26 78 83 ,http://www.restaurants.mcdonalds.fr/mcdonalds-paris-gare-de-l%27est-originals-areas," Paris Gare De L'est, HALL SAINT-MARTIN, 75010 Paris, Frankreich ",
 McDonald's, +33 1 42 46 67 80 ,http://www.restaurants.mcdonalds.fr/mcdonalds-paris-opera-bld-des-italiens," 34 Bd des Italiens, 75009 Paris, Frankreich ",
 McDonald's, +33 1 46 36 00 66 ,http://www.restaurants.mcdonalds.fr/mcdonalds-paris-gambetta," Place Gambetta, 7 Face Mairie du, 75020 Paris, Frankreich ",
 McDonald's, +33 1 42 45 40 12 ,http://www.restaurants.mcdonalds.fr/mcdonalds-paris-porte-de-pantin," 208 Av. Jean Jaurès, 75019 Paris, Frankreich ",
 McDonald's, +33 1 40 22 06 51 ,http://www.restaurants.mcdonalds.fr/mcdonalds-paris-montmartre," 20 Bd Montmartre, 75009 Paris, Frankreich ",
 McDonald's, +33 1 81 69 54 92 ,http://www.restaurants.mcdonalds.fr/mcdonalds-paris-beaugrenelle," 48 Rue Linois, 75015 Paris, Frankreich ",
 McDonald’s, +33 1 81 69 54 90 ,http://www.restaurants.mcdonalds.fr/mcdonalds-paris-rue-de-passy," Place De Passy, 22 Rue Duban, 75016 Paris, Frankreich ",
 McDonald's, +33 1 42 36 26 22 ,http://www.restaurants.mcdonalds.fr/," 9 Bd de la Madeleine, 75001 Paris, Frankreich ",
 McDonald's, +33 1 47 63 16 10 ,http://www.restaurants.mcdonalds.fr/mcdonalds-paris-wagram," 11 Av. de Wagram, 75017 Paris, Frankreich ",
 McDonald's, +33 1 40 15 03 05 ,http://www.restaurants.mcdonalds.fr/mcdonalds-paris-sebastopol," 141 Bd de Sébastopol, 75002 Paris, Frankreich ",
 McDonald's, +33 1 81 69 54 79 ,http://www.restaurants.mcdonalds.fr/mcdonalds-paris-victor-hugo," 131 Av. Victor Hugo, 75016 Paris, Frankreich ",
 McDonald's Restaurant, +33 1 81 69 54 75 ,http://www.restaurants.mcdonalds.fr/mcdonalds-cluny," 98 Bd Saint-Germain, 75005 Paris, Frankreich ",
 McDonald's, +33 1 42 54 65 27 ,http://www.restaurants.mcdonalds.fr/mcdonalds-paris-orsel-clignancourt," 2 Rue d'Orsel, 75018 Paris, Frankreich ",
